Questions,Question,Category,Technology,Topic,Sub Topic,Type of Question,Are Qs Same?
4- transaction in the database.,,,,,,,
5- primary key ,,,,,,,
6- Foreign key,,,,,,,
7- Why do we use the foreign key.,,,,,,,
8- cluster,,,,,,,
9- Abstract class,,,,,,,
10-  How we use the foreign key.,,,,,,,
1. What is overriding and overloading,,,,,,,
2. Overloading ?,,,,,,,
3. Can we use try without catch?,,,,,,,
4. Can we use try with finally?,,,,,,,
1 About the project,,,,,,,
2 Immutable Objects,,,,,,,
3  lambda expression,,,,,,,
4 overriding,,,,,,,
5 overloading,,,,,,,
6 difference between (directly assigning the value and with the help of new keyword),,,,,,,
7 how to check repetitive words  in string,,,,,,,
8 foms,,,,,,,
9 notation used in backend,,,,,,,
10 functional interface(not answered),,,,,,,
11 dependency injection,,,,,,,
"What is the relationship between department students, one to one or one to many or many to one or many to many ??? ",,,,,,,
"Tell  me about yourself, educational qualifications and project.",,,,,,,
1)Real time questions on @Autowiring and @Bean,,,,,,,
2) What is the endpoint for data to handle in the controller layer.,,,,,,,
3) What is springboot application and implimentaion of tomcat server.,,,,,,,
4) How the Spring boot will works?,,,,,,,
5) How to perform CRUD operations? ,,,,,,,
6) How many ways to declare an object*?,,,,,,,
"7) If there are different colours in every layer, how do you implement it for everything?",,,,,,,
8) What is ngmodel and two way binding*?,,,,,,,
9) mysql related questions on how to retrieve the details of an employee by using department*?,,,,,,,
10) difference between mysql and mongo,,,,,,,
11) To perform some operations on mysql how do you do what to implement?O,,,,,,,
12) What is Polymorphism & Inheritance concepts.,,,,,,,
What is an immutable in java? ,,,,,,,
How you done the dependency injection? ,,,,,,,
What is the difference between controler and restcontroler? ,,,,,,,
Other than bean is their a way to connect?,,,,,,,
Why we use docker? ,,,,,,,
Docker commands to show container?,,,,,,,
What is Dependency Injection?,,,,,,,
1) What is the endpoint for data to handle in the controller layer.,,,,,,,
2) How do you connect two objects ( on autowired and bean),,,,,,,
3) commands for angular applications?,,,,,,,
4) to see the output of angular?,,,,,,,
"5) without any java advanced techniques, if there are thousands of numbers, how do you get the largest number??",,,,,,,
"6) If there are different colours in every layer, how do you implement it for everything?",,,,,,,
7) What is ngmodel ? ,,,,,,,
Is two way binding possible?,,,,,,,
What is two way binding?,,,,,,,
8) mysql related questions on how to sum up salaries,,,,,,,
9) forms?,,,,,,,
10) difference between mysql and mongo,,,,,,,
11) difference between comparable and compared to?,,,,,,,
12) To perform some operations on mysql how do you do what to implement?,,,,,,,
Tell me about yourself ,,,,,,,
2. What you have done your major project in.   Final year in 2nd semester.,,,,,,,
3. What are the Technologies  you used in project.     ,,,,,,,
4. Which is the cloud technology is used in your project. ,,,,,,,
5. If there is a job offer of windows administrator your comfortable to join. Yes/No,,,,,,,
Do you know about active and passive objects?,,,,,,,
What is difference between UNIQUE and PRIMARY KEY constraints,,,,,,,
What is a primary key?,,,,,,,
Can a class inherit the constructors of its super class?,,,,,,,
What is the difference between truncate and delete commands in sql,,,,,,,
What is the difference between malloc() and calloc(),,,,,,,
What is polymorphism,,,,,,,
Write a program to find the reverse of a number,,,,,,,
Write the bubble sort algorithm.,,,,,,,
Find whether a number is prime or not,,,,,,,
Write a program to convert a binary number to octal,,,,,,,
Write a program to find the second largest element? Do not use sorting.,,,,,,,
•   Write a program to merge two unsorted order in sorted order,,,,,,,
•   What are the conditions for deadlock,,,,,,,
•   Write a program to find the sum of the digits of a number ,,,,,,,
•   Write a program to find the nth Fibonacci number,,,,,,,
4. Remove the duplicate character from the String.,,,,,,,
"   Input:""Hello World""",,,,,,,
"   Output:""Helo wrd""",,,,,,,
Find the smallest and largest element in an array.,,,,,,,
"   Input:[12,5,1,99,100,65,44]",,,,,,,
"   output: Smallest=1 , Largest=100",,,,,,,
TELL ME ABOUT URSELF,,,,,,,
1.What are the OOPS concept you are aware of?,,,,,,,
2.What is interface?,,,,,,,
3.What is Functional Interface?,,,,,,,
4.What type of methods we have in interface?,,,,,,,
5.Difference between Comparable and Comparator?,,,,,,,
6.Collection please Explain,,,,,,,
7.Difference between Arraylist and linkedlist?,,,,,,,
8.What is Thread safe?,,,,,,,
9.Difference between set and List?,,,,,,,
10.  What will happen if I add duplicate value in set,,,,,,,
11.  What is Map?,,,,,,,
12.  Memory implementation of hashmap?,,,,,,,
13.  Some spring Annotation,,,,,,,
14.  @Controller and @restcontroller,,,,,,,
15.  @Configuration and @Component,,,,,,,
16.  IOC,,,,,,,
17.  Hibernate what it is?,,,,,,,
1. Size of Hahmap? Wrong anwer:10,,,,,,,
2. Arraylist and linkedlist ?Why insertion n deletion easy in Linked List,,,,,,,
And Retrieving difficult  Vice versa,,,,,,,
3. Hibernate get() and load(),,,,,,,
Tell me about Yourself?,,,,,,,
Features of java?,,,,,,,
WHAT IS API ,,,,,,,
MICROSERVICES ,,,,,,,
Why it is highly secure?,,,,,,,
*what is polymorphism?With example?,,,,,,,
*what is collections?,,,,,,,
*what is the difference between interface and abstract classes?,,,,,,,
What is unit testing?,,,,,,,
What is junit testing?,,,,,,,
Any java based framework?,,,,,,,
Features of spring boot?,,,,,,,
What project you have done?,,,,,,,
Explain login into the application?,,,,,,,
) Tell me about yourself?,,,,,,,
2) what are some java oops principles?,,,,,,,
3) what is Encapsulation?,,,,,,,
4) What is polymorphism? What are its types?,,,,,,,
5) What is immutable?,,,,,,,
6) what is inheritance?,,,,,,,
7) can we override static methods?,,,,,,,
8) what is hibernate ?,,,,,,,
9) why do we require hibernate when we have spring jdbc?,,,,,,,
10) what is difference between scopes singleton and prototype?,,,,,,,
11) what is collection? What all you know about it ?,,,,,,,
12) what is set?,,,,,,,
13) what is list?,,,,,,,
13) Difference Between arraylist and linkedlist?,,,,,,,
14)what is transaction Manager in hibernate ?,,,,,,,
15) Do you have any  question for me?,,,,,,,
.About oops concepts,,,,,,,
2. About Collections,,,,,,,
3. About java 8 features,,,,,,,
4. Spring Boot Annotations,,,,,,,
1. Difference between interface and functional Interface,,,,,,,
1. Map implementation,,,,,,,
2. Hibernate,,,,,,,
What is your experience ,,,,,,,
What skills you know ,,,,,,,
Explain OOPS Concepts ,,,,,,,
What is inheritance and how to implement ,,,,,,,
Explain flow of program in java ,,,,,,,
Explain all keyword in  :- public static void main(String args[]),,,,,,,
What you understand by  public static void main(String args[]),,,,,,,
What is method overloading in java ,,,,,,,
Java Collection ,,,,,,,
About springboot and what is use of it,,,,,,,
About Project and what have you done in that ,,,,,,,
What framework did u use in your application?,,,,,,,
2. Have you provided authentication in your application?  If so what library did you use?,,,,,,,
3. What is tech used in Backend?,,,,,,,
"4. What about the exceptions while overriding? (if the base class has 'throws' keyword in signature,  should we use same exception in derived class or different exceptions can be used?)",,,,,,,
5. What is overriding?,,,,,,,
6. How did you test your microservices?,,,,,,,
7. How will you perform Junit testing.,,,,,,,
1.No of joins in SQL? ,,,,,,,
2. How many repositories JPA has?,,,,,,,
3. Types of Dependency Injection?,,,,,,,
4. What is shallowing and Deepening ?,,,,,,,
5. What are changes you noticed in Interfaces after JAVA 1.8?,,,,,,,
6. Wether mongodb supports joins ? ,,,,,,,
What is spring boot?,,,,,,,
What is @springbootapplication?,,,,,,,
Implemetation of Repository service in spring.,,,,,,,
Code for Fetching a particular variable from mongodb in my project.,,,,,,,
What is collection?,,,,,,,
What is hashmap?,,,,,,,
*how do you delete values in hashmap*,,,,,,,
What’s arraylist?,,,,,,,
How will you sort using collection?,,,,,,,
*how will you count employees in a list using collection?*,,,,,,,
What is polymorphism?,,,,,,,
What is method overriding?,,,,,,,
What is method overloading?,,,,,,,
What is run time polymorphism?,,,,,,,
*what happens at runtime polymorphism method overloading or method overriding?*,,,,,,,
)What is Java?,,,,,,,
2)What are the Features of Java?,,,,,,,
3)What is Encapsulation?,,,,,,,
4)What are Collections? ,,,,,,,
"5)Why should we use other collections, when we have arrays?",,,,,,,
6)Difference between Abstract classes and Interfaces? ,,,,,,,
7)What are Exceptions?,,,,,,,
8)Difference between Exception and Error?,,,,,,,
9)Types of Exceptions with Examples,,,,,,,
10)What is Overriding?,,,,,,,
11)What is Hibernate Framework?,,,,,,,
12)How does the framework recognize the query of  different databases?(did not answer),,,,,,,
13)What is the difference between early loading and lazy loading?,,,,,,,
14)Difference between get and load methods?(did not answer),,,,,,,
15)What is Spring?,,,,,,,
16)Difference between @Component and @Configuration?(Took time to answer),,,,,,,
1)why is Java platform independent?,,,,,,,
2)what does JIT compiler do?,,,,,,,
3)What does JVM do?,,,,,,,
4)What is public static void main?,,,,,,,
5)what is static keyword?What it does?,,,,,,,
6)what if we dont use main method and just initialise static variables?,,,,,,,
7)What is checked and unchecked exception?,,,,,,,
8)Why we use custom exceptions?,,,,,,,
9)How we use custom exceptions?,,,,,,,
10) Difference between spring and spring boot?,,,,,,,
11)What is JPA?,,,,,,,
12)What is @value @autowired @bean?,,,,,,,
13)How do we make application.properties file and what we write in it?,,,,,,,
14)what are the features of java 8?,,,,,,,
15)What is the difference between array and arraylist?,,,,,,,
16)How do we handle exceptions?,,,,,,,
17)Can we use try without catch?,,,,,,,
18)Can we use try with finally?,,,,,,,
19)What are the types of modifiers?,,,,,,,
20) What is the difference between private and protected and default?,,,,,,,
21)What is the default property in spring?,,,,,,,
22) What is hashmap?,,,,,,,
23)What is the difference between hashcode() and equals()?,,,,,,,
24)What if two objects hashcode value is same when we compare them using hashcode() method?,,,,,,,
25)In how many types we apply styles?,,,,,,,
26)What is eval in javascript?,,,,,,,
What is spring boot?,,,,,,,
What is @springbootapplication?,,,,,,,
Implemetation of Repository service in spring.,,,,,,,
Code for Fetching a particular variable from mongodb in my project.,,,,,,,
What is collection?,,,,,,,
What is hashmap?,,,,,,,
*how do you delete values in hashmap*,,,,,,,
What’s arraylist?,,,,,,,
How will you sort using collection?,,,,,,,
*how will you count employees in a list using collection?*,,,,,,,
What is polymorphism?,,,,,,,
What is method overriding?,,,,,,,
What is method overloading?,,,,,,,
What is run time polymorphism?,,,,,,,
*what happens at runtime polymorphism method overloading or method overriding?*,,,,,,,
What is linked list?,,,,,,,
Tell me about yourself?,,,,,,,
2) what are some java oops principles?,,,,,,,
3) what is Encapsulation?,,,,,,,
4) What is polymorphism? What are its types?,,,,,,,
5) What is immutable?,,,,,,,
6) what is inheritance?,,,,,,,
7) can we override static methods?,,,,,,,
8) what is hibernate ?,,,,,,,
9) why do we require hibernate when we have spring jdbc?,,,,,,,
10) what is difference between scopes singleton and prototype?,,,,,,,
11) what is collection? What all you know about it ?,,,,,,,
12) what is set?,,,,,,,
13) what is list?,,,,,,,
13) Difference Between arraylist and linkedlist?,,,,,,,
14)what is transaction Manager in hibernate ?,,,,,,,
15) Do you have any  question for me?,,,,,,,
…………………..,,,,,,,
1.Introduce yourself?,,,,,,,
2.Describe Composition And Aggregation?,,,,,,,
3.What are the changes you have seen in Interfaces after java 1.8?,,,,,,,
4.What is Functional Interface?,,,,,,,
5.What is the use of default and static methods in Interfaces in Java 1.8?,,,,,,,
6.What are your Contributions in the Project that you have developed?,,,,,,,
7.Write a Program to swap two numbers without using third variable?,,,,,,,
8.Write Program to reverse a string without using any predefined method?,,,,,,,
9.What is Shallowing and Deepening in java?,,,,,,,
10.  What are Collections?,,,,,,,
11.  Difference between sets and Lists?,,,,,,,
12.  Difference between arraylist And linkedlist in java collections?,,,,,,,
13.  Difference between linkedhashset and concurrenthashset?,,,,,,,
14.  How can you create a Custom Exception?,,,,,,,
15.  Whether you can implement try without catch? Then How?,,,,,,,
16.  Difference between throws and throw.,,,,,,,
17.  What is the super class of Exceptions?,,,,,,,
18.  What is the difference between Comparable and Comparator?,,,,,,,
19.  What is Spring?,,,,,,,
20.  What is Spring Boot?,,,,,,,
21.  What is the default scope of Bean?,,,,,,,
22.  What are the other scopes of Bean?,,,,,,,
23.  What is Dependency Injection?,,,,,,,
24.  What are the Types Of Dependency Injection?,,,,,,,
25.  What is the use of @restcontroller Annotation?,,,,,,,
26.  How many repositories does JPA holds? What are those?,,,,,,,
27.  Explain JPA repository.,,,,,,,
28.  What are Joins in SQL?,,,,,,,
29.  Elaborate the types of joins.,,,,,,,
30.  Explain Outer Join?,,,,,,,
31.  Write the Query for inserting data in SQL.,,,,,,,
32.  Write the Query for updating data in SQL.,,,,,,,
